ADRAR,30,5256,174.7
CHLEF,130,23458,180.0
LAGHOUAT,329,99300,301.8
O.E.BOUAGHI,231,43900,190.5
BATNA,248,43328,174.7
BEJAIA,200,27942,139.8
BISKRA,1040,782900,752.8
BECHAR,79,6676,84.9
BLIDA,232,118046,509.5
BOUIRA,86,4095,47.9
TAMANRASSET,17,2829,164.7
TEBESSA,80,9840,123.0
TLEMCEN,632,159280,252.0
TIARET,369,77075,209.0
TIZI-OUZOU,99,12891,129.8
ALGER,546,151265,277.2
DJELFA,180,16480,91.6
JIJEL,286,204601,715.0
SETIF,409,225963,552.9
SAIDA,404,77900,192.8
SKIKDA,388,65396,168.5
S.B.ABBES,166,35620,214.6
ANNABA,382,57799,151.3
GUELMA,74,9270,125.3
CONSTANTINE,43,5310,123.3
MEDEA,324,19660,60.7
MOSTAGANEM,973,392770,403.8
M'SILA,120,28000,233.3
MASCARA,637,137900,216.5
OUARGLA,4,1500,375.0
ORAN,97,13124,134.6
EL-BAYADH,39,4715,122.5
ILLIZI,10,1107,110.0
B.B.ARRERIDJ,47,2580,54.9
BOUMERDES,324,58938,181.9
EL-TARF,195,23250,119.2
TINDOUF,3,1280,500.0
TISSEMSILT,8,520,69.3
EL-OUED,119,42010,354.2
KHENCHELA,148,37000,250.0
SOUK-AHRAS,230,2750,12.0
TIPAZA,650,208333,320.7
MILA,130,38315,295.2
AIN-DEFLA,76,29570,391.7
NAAMA,117,10256,87.7
A.TEMOUCHENT,274,63054,230.2
GHARDAIA,100,17900,179.0
RELIZANE,121,16200,133.9
