ADRAR,131,35032,267.1
CHLEF,476,272585,573.1
LAGHOUAT,302,91500,303.0
O.E.BOUAGHI,230,64400,280.0
BATNA,297,68250,230.2
BEJAIA,275,77653,282.8
BISKRA,2458,3610050,1468.7
BECHAR,226,32560,144.4
BLIDA,121,60131,495.3
BOUIRA,182,46586,256.0
TAMANRASSET,116,36131,310.5
TEBESSA,150,24000,160.0
TLEMCEN,830,595000,716.9
TIARET,220,63000,286.4
TIZI-OUZOU,165,46305,280.2
ALGER,1074,582885,542.9
DJELFA,257,28000,108.9
JIJEL,563,373423,662.7
SETIF,534,169904,318.1
SAIDA,382,117150,306.7
SKIKDA,474,146695,309.5
S.B.ABBES,308,153120,497.1
ANNABA,0,0,0.0
GUELMA,195,74230,380.7
CONSTANTINE,14,4690,338.4
MEDEA,547,129550,236.8
MOSTAGANEM,1856,963160,518.9
M'SILA,261,110000,421.5
MASCARA,338,80000,236.5
OUARGLA,206,47445,230.2
ORAN,204,79630,390.5
EL-BAYADH,118,40300,341.5
ILLIZI,13,1496,113.3
B.B.ARRERIDJ,104,14240,136.9
BOUMERDES,478,211478,442.4
EL-TARF,0,400,1250.0
TINDOUF,9,5832,649.4
TISSEMSILT,65,15020,232.9
EL-OUED,3130,2163100,691.1
KHENCHELA,226,111150,491.8
SOUK-AHRAS,700,238000,340.0
TIPAZA,1864,1075719,577.1
MILA,204,76378,375.1
AIN-DEFLA,570,487350,855.0
NAAMA,70,12746,183.4
A.TEMOUCHENT,950,332128,349.7
GHARDAIA,22,3190,145.0
RELIZANE,409,125860,307.7
