ADRAR,4911,185348,37.7
CHLEF,56560,374680,12.1
LAGHOUAT,3935,122625,32.3
O.E.BOUAGHI,60297,701374,13.3
BATNA,58964,593893,12.6
BEJAIA,4850,92007,19.0
BISKRA,11816,414729,35.1
BEC HAR,175,5450,31.3
BLIDA,6475,147935,23.6
BOUIRA,40983,789105,20.1
TAMAN RASSET,500,9725,19.5
TEBESSA,87000,215800,12.0
TLEMCEN,51150,183200,9.0
TIARET,130000,1150000,17.5
TIZI.OUZOU,5043,104281,20.7
ALGER,1774,41825,24.0
DJELFA,17730,40600,20.1
JIJEL,532,11873,22.3
SETIF,118825,2013972,17.0
SAIDA,29340,192622,8.6
SKIKDA,27000,534900,20.0
SBABBES,48820,242658,6.7
ANNABA,12290,306830,0.1
GUELMA,62490,1604475,25.7
CONSTANTINE,47296,1207325,26.1
MEDEA,62720,605782,13.0
MOSTAGANEM,5173,58332,12.3
MSILA,17500,115000,20.9
MA SCARA,25600,150000,10.8
OUARGLA,755,24780,36.1
ORAN,8896,9594,5.8
EL-BAYADH,2421,11344,33.6
ILLIZI,4,107,30.6
B.B.ARRERIDJ,63655,671235,10.7
BOUMERDES,4552,107738,25.4
EL-TARF,16600,431600,26.0
TINDOUF,0,0,0.0
TISSEMSlLT,51675,221148,9.0
EL-OUED,10000,500000,50.0
KHENCHELA,53450,663870,18.8
SOUK-AHRAS,76600,1207706,15.9
TIPAZA,12442,305798,25.5
MILA,62900,1548510,26.2
AIN-DEFLA,50230,1026300,22.7
NAAMA,116,1608,16.4
A.TEMOUCHENT,47708,174100,10.7
GHARDAIA,2899,130927,45.2
RELIZANE,68596,123463,8.0
