ADRAR,90,69,55,76
CHLEF,90,69,55,76
LAGHOUAT,88,67,54,74
O.E.BOUAGHI,89,68,55,75
BATNA,89,69,55,76
BEJAIA,90,69,55,76
BISKRA,65,50,40,55
BECHAR,90,69,55,76
BLIDA,87,67,53,73
BOUIRA,90,69,55,76
TAMANRASSET,90,69,55,76
TEBESSA,90,69,55,76
TLEMCEN,85,65,52,72
TIARET,89,68,55,75
TIZI-OUZOU,90,69,55,76
ALGER,86,66,53,73
DJELFA,90,69,55,76
JIJEL,85,65,52,72
SETIF,83,63,51,70
SAIDA,88,67,54,74
SKIKDA,89,68,54,75
S.B.ABBES,89,69,55,75
ANNABA,89,68,55,75
GUELMA,90,69,55,76
CONSTANTINE,90,69,55,76
MEDEA,90,69,55,76
MOSTAGANEM,77,59,47,65
M'SILA,90,69,55,76
MASCARA,86,66,53,73
OUARGLA,90,69,55,76
ORAN,90,69,55,76
EL-BAYADH,90,69,55,76
ILLIZI,91,70,56,77
B.B.ARRERIDJ,90,69,55,76
BOUMERDES,88,68,54,75
EL-TARF,90,69,55,76
TINDOUF,90,69,55,76
TISSEMSILT,90,69,55,76
EL-OUED,89,69,55,75
KHENCHELA,89,69,55,76
SOUK-AHRAS,90,69,55,76
TIPAZA,82,63,50,69
MILA,89,69,55,76
AIN-DEFLA,90,69,55,76
NAAMA,90,69,55,76
A.TEMOUCHENT,89,68,54,75
GHARDAIA,90,69,55,76
RELIZANE,90,69,55,76
