ADRAR,76,69,55,76
CHLEF,73,67,53,73
LAGHOUAT,74,68,54,74
O.E.BOUAGHI,76,69,55,76
BATNA,76,69,55,76
BEJAIA,76,69,55,76
BISKRA,76,69,55,76
BECHAR,76,69,55,76
BLIDA,76,69,55,76
BOUIRA,71,64,51,71
TAMANRASSET,76,69,55,76
TEBESSA,73,66,53,73
TLEMCEN,72,65,52,72
TIARET,72,65,52,72
TIZI-OUZOU,76,69,55,76
ALGER,75,68,55,75
DJELFA,73,66,53,73
JIJEL,76,69,55,76
SETIF,75,68,54,75
SAIDA,74,67,54,74
SKIKDA,72,65,52,72
S.B.ABBES,75,68,54,75
ANNABA,76,69,55,76
GUELMA,76,69,55,76
CONSTANTINE,76,69,55,76
MEDEA,75,68,54,75
MOSTAGANEM,61,55,44,61
M'SILA,76,69,55,76
MASCARA,66,60,48,66
OUARGLA,74,67,54,74
ORAN,76,69,55,76
EL-BAYADH,75,68,54,75
ILLIZI,77,70,56,77
B.B.ARRERIDJ,76,69,55,76
BOUMERDES,74,67,54,74
EL-TARF,76,69,55,76
TINDOUF,76,69,55,76
TISSEMSILT,76,69,55,76
EL-OUED,44,40,32,44
KHENCHELA,76,69,55,76
SOUK-AHRAS,76,69,55,76
TIPAZA,75,68,54,75
MILA,75,68,54,75
AIN-DEFLA,62,56,45,62
NAAMA,76,69,55,76
A.TEMOUCHENT,76,69,55,76
GHARDAIA,76,69,55,76
RELIZANE,74,67,54,74
