ADRAR,59.55,53.59,65.5,71.46
CHLEF,55.69,50.12,61.26,66.83
LAGHOUAT,60.32,54.28,66.35,72.38
O.E.BOUAGHI,60.67,54.6,66.73,72.8
BATNA,60.24,54.21,66.26,72.28
BEJAIA,60.59,54.53,66.65,72.71
BISKRA,41.0,36.9,45.1,49.2
BECHAR,60.75,54.67,66.82,72.9
BLIDA,60.65,54.59,66.72,72.78
BOURA,60.79,54.71,66.86,72.94
TAMANRASSET,60.82,54.74,66.91,72.99
TEBESSA,60.84,54.76,66.93,73.01
TLEMCEN,56.68,51.01,62.35,68.02
TIARET,60.36,54.33,66.4,72.43
TIZI-OUZOU,60.76,54.68,66.84,72.91
ALGER,56.71,51.04,62.39,68.06
DJELFA,60.81,54.73,66.89,72.97
JIJEL,59.09,53.18,65.0,70.91
SETIF,59.54,53.59,65.5,71.45
SAIDA,60.34,54.31,66.38,72.41
SKIKDA,60.0,54.0,66.0,72.0
S.B.ABBES,60.15,54.14,66.17,72.18
ANNABA,61.0,54.9,67.1,73.2
GUELMA,60.48,54.43,66.53,72.58
CONSTANTINE,60.98,54.88,67.08,73.18
MEDEA,60.35,54.31,66.38,72.42
MOSTAGANEM,54.29,48.86,59.72,65.14
M'SILA,59.43,53.49,65.38,71.32
MASCARA,60.48,54.43,66.53,72.57
ÔUARGLA,60.81,54.73,66.89,72.97
ORAN,60.61,54.55,66.68,72.74
EL-BAYADH,60.9,54.81,66.99,73.08
ILLIZI,60.99,54.89,67.09,73.19
B.B.ARRERIDJ,60.86,54.78,66.95,73.04
BOUMERDES,58.53,52.67,64.38,70.23
EL.TARF,60.99,54.9,67.1,73.2
TINDOUF,60.96,54.86,67.05,73.15
TISSEMSILT,60.99,54.89,67.09,73.19
EL.OUED,49.38,44.44,54.32,59.25
KHENCHELA,60.74,54.67,66.82,72.89
SOUK.AHRAS,59.82,53.84,65.8,71.78
TIPAZA,55.25,49.72,60.77,66.29
MILA,60.72,54.65,66.79,72.86
AIN.DEFLA,58.62,52.76,64.49,70.35
NAAMA,60.75,54.68,66.83,72.9
A.TEMOUCHENT,58.99,53.09,64.88,70.78
GHARDAIA,60.95,54.85,67.04,73.14
RELIZANE,60.4,54.36,66.45,72.49
