BISKRA,822,396900,482.8
MOSTAGANEM,664.0,366040.0,551.1
LAGHOUAT,761.0,244158.0,320.8
ALGER,455.0,135590.0,298.2
TIPAZA,242.0,81179.0,334.8
BOUMERDES,404.0,73941.0,183.0
BLIDA,146.0,56806.0,390.4
EL-OUED,171.0,42776.0,250.0
GHARDAIA,200.0,42000.0,210.0
ANNABA,277.0,37284.0,134.6
JIJEL,124.0,33192.0,267.9
OUARGLA,103.0,29510.0,287.9
AIN-DEFLA,49.0,28741.0,586.6
A.TEMOUCHENT,99.0,23610.0,238.9
MASCARA,101.0,22800.0,225.7
M'SILA,81.0,20300.0,252.2
BATNA,98.0,18160.0,185.3
SAIDA,44.0,14000.0,318.2
SKIKDA,64.0,12251.0,191.4
ADRAR,91.0,11329.0,125.1
RELIZANE,90.0,11170.0,124.1
BECHAR,87.0,10380.0,119.9
TLEMCEN,70.0,9450.0,135.0
EL-BAYADH,33.0,9085.0,279.5
NAAMA,80.0,8051.0,101.3
S.B.ABBES,33.0,7534.0,228.3
TIARET,112.0,7440.0,66.4
DJELFA,77.0,6900.0,89.6
EL-TARF,45.0,6840.0,152.0
MILA,17.0,6371.0,371.3
KHENCHELA,10.0,6000.0,600.0
MEDEA,47.0,5640.0,120.0
TAMANRASSET,38.0,5516.0,146.1
ORAN,32.0,5290.0,167.9
SETIF,32.0,4780.0,149.4
SOUK-AHRAS,110.0,3500.0,31.8
CHLEF,7.0,3250.0,500.0
BEJAIA,18.0,3048.0,172.3
CONSTANTINE,10.0,1370.0,137.0
TIZI-OUZOU,6.0,1200.0,200.0
BOUIRA,15.0,1050.0,70.0
TEBESSA,10.0,800.0,80.0
ILLIZI,5.0,570.0,109.7
TINDOUF,1.0,250.0,250.0
GUELMA,1.0,130.0,130.0
O.E.BOUAGHI,0.0,0.0,0.0
B.B.ARRERIDJ,0.0,0.0,0.0
TISSEMSILT,0.0,0.0,0.0
,,37837.125,
